# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_00_model
# start_datetime = 2023-03-29 00:38:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.data.json
# init = 2 (Default)
# random
#   seed = 9
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.output9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma
# Adaptation terminated
# Step size = 0.0667181
# Diagonal elements of inverse mass matrix:
# 0.577126, 0.00361677, 0.0861214, 0.0874582, 0.0889757, 0.110388, 0.0111697, 0.0284824, 0.00761903, 0.00107083
-510.731,0.911601,0.0667181,6,63,0,514.534,0.320729,0.775916,-0.803024,-0.510531,-0.850661,-0.631208,0.411389,-0.0845457,0.187872,1.72387
-510.523,0.980142,0.0667181,6,63,0,513.669,0.697151,0.871065,-1.30693,-0.46245,-0.628559,-0.35547,0.291426,-0.20521,0.207884,1.78325
-515.597,0.964733,0.0667181,6,63,0,518.239,1.11931,0.750335,-0.889298,-1.12153,-1.51441,-1.18942,0.0721907,0.0103556,0.415016,1.79397
-514.203,0.984321,0.0667181,6,63,0,521.596,1.98983,0.700667,-1.47553,-0.988124,-1.16058,-0.944014,0.379638,-0.202531,0.21853,1.81395
-514.882,0.86716,0.0667181,6,63,0,519.363,1.19125,0.875456,-1.07078,-0.689638,-0.773511,-0.878994,-0.00661258,0.00396996,0.304002,1.79397
-516.676,0.982113,0.0667181,6,63,0,522.24,0.62795,0.81253,-1.22093,-1.08098,-1.67242,-0.997184,0.20585,0.063552,0.484876,1.86716
-513.901,0.999058,0.0667181,6,63,0,521.528,0.37576,0.827486,-1.22846,-0.997179,-1.04273,-0.962845,0.381733,0.215471,0.219967,1.88204
-512.01,0.999431,0.0667181,6,63,0,518.359,0.62248,0.813302,-0.952284,-0.23407,-0.456788,-0.184372,0.0885198,-0.128594,0.323715,1.66904
-513.056,0.945498,0.0667181,6,127,0,517.346,0.665888,0.812693,-0.988015,-0.595053,-0.951488,-0.272324,0.0993851,-0.0767212,0.407727,1.68359
-510.955,0.970409,0.0667181,6,63,0,516.476,0.374887,0.794357,-0.689111,-0.0977586,-0.271266,-0.369909,0.177541,-0.118186,0.228094,1.78561
-510.501,0.979226,0.0667181,5,63,0,514.494,0.87474,0.755039,-1.10337,-0.150974,-0.43668,-0.254056,0.136906,-0.197763,0.346729,1.80611
-510.829,0.990706,0.0667181,5,63,0,515.549,-0.301446,0.8191,-0.840783,-0.24518,-0.621711,-0.334968,0.299487,-0.0673119,0.366038,1.81213
-510.566,0.998925,0.0667181,6,63,0,517.085,1.33293,0.727339,-1.38259,-0.549124,-0.906815,-0.831181,0.328168,-0.138134,0.261945,1.75867
-510.464,0.872944,0.0667181,5,63,0,513.798,1.28017,0.740793,-1.43478,-0.65492,-1.01393,-0.463635,0.316526,-0.109956,0.267753,1.79988
-515.885,0.994229,0.0667181,5,63,0,518.854,0.560601,0.784846,-0.493551,0.0460696,-0.557892,-0.491666,0.274424,-0.337704,0.107096,1.88309
-516.128,0.98885,0.0667181,5,31,0,520.163,0.46411,0.779173,-0.323489,-0.065597,-0.420729,-0.50388,0.282859,-0.380583,0.0941637,1.86896
-516.243,0.993822,0.0667181,5,31,0,520.765,0.194633,0.80178,-0.27083,-0.173552,-0.695414,0.00533635,0.27749,-0.318539,0.145279,1.853
-510.625,0.99953,0.0667181,6,63,0,517.074,0.565616,0.810949,-1.46932,-0.263662,-0.537856,-0.387402,0.22334,0.0907553,0.308521,1.76136
-512.703,0.74356,0.0667181,6,63,0,521.424,-0.383986,0.90494,-0.772153,-0.761156,-0.780517,-0.49754,0.211351,0.00606538,0.339022,1.81382
-514.464,0.975552,0.0667181,6,63,0,518.875,-0.116889,0.882889,-0.685902,-0.79822,-1.26317,-0.963512,0.42527,0.0181639,0.173228,1.77141
-514.255,0.843565,0.0667181,5,31,0,520.575,0.424867,0.867734,-1.04852,-1.14446,-1.24102,-0.561543,0.303774,-0.075699,0.277247,1.79111
-524.018,0.986601,0.0667181,6,63,0,529.417,1.46844,0.928082,-1.8641,-0.478067,-1.14338,-1.46922,0.093348,0.0668373,0.253906,1.8596
-517.597,1,0.0667181,4,15,0,525.136,1.35685,0.912289,-1.68945,-0.563224,-0.89268,-1.2601,0.105489,0.0329485,0.24377,1.87141
-517.284,0.954553,0.0667181,5,63,0,522.871,1.20411,0.923607,-1.6028,-0.517742,-0.851683,-1.08161,0.131508,0.136737,0.208536,1.86504
-517.069,0.996793,0.0667181,6,63,0,523.967,2.34306,0.67845,-1.41948,-0.722932,-1.13512,-0.498652,0.389286,-0.541044,0.14831,1.78611
-514.793,0.718418,0.0667181,5,31,0,525.049,1.71289,0.731443,-1.25956,-0.713807,-1.01905,-0.625534,0.365763,-0.506331,0.192826,1.80416
-510.64,0.976258,0.0667181,6,63,0,518.47,1.25438,0.781389,-1.03558,-0.689959,-0.971168,-1.05119,0.147018,-0.144206,0.269313,1.79925
-509.801,0.999624,0.0667181,5,63,0,514.395,1.34649,0.77612,-1.2847,-0.699519,-1.01832,-0.79676,0.244097,-0.00755348,0.222705,1.72507
-511.49,0.908095,0.0667181,6,63,0,513.786,0.166975,0.825893,-0.903389,-0.299816,-0.573672,-0.235416,0.266806,-0.146081,0.230258,1.85864
-517.353,0.81696,0.0667181,6,63,0,521.622,0.514554,0.859599,-1.29601,-0.501531,-1.09305,-0.731641,0.254825,0.0689208,0.196218,1.72697
-511.636,1,0.0667181,6,63,0,519.342,0.748946,0.810071,-1.44867,-0.570436,-0.70841,-0.680006,0.330995,0.149969,0.216672,1.78761
-512.381,0.928852,0.0667181,6,63,0,516.664,0.766979,0.809963,-1.39659,-0.601716,-0.800208,-0.424672,0.357917,0.0666451,0.221368,1.83682
-511.842,0.929813,0.0667181,5,63,0,514.974,0.308575,0.789018,-1.3609,-0.544342,-0.811088,-0.644693,0.389357,0.0897226,0.258237,1.83316
-513.096,0.933224,0.0667181,5,63,0,516.58,0.470223,0.796302,-1.36117,-0.595928,-0.841357,-0.341557,0.211343,0.257731,0.273777,1.78394
-515.911,0.936937,0.0667181,6,63,0,519.271,2.02899,0.73232,-1.01045,-0.575099,-0.620465,-0.264651,0.216182,-0.509627,0.188383,1.79413
-515.208,0.993621,0.0667181,6,63,0,526.952,1.68657,0.628656,-1.29063,-0.582763,-0.772376,-0.168463,0.182148,-0.227138,0.369226,1.75326
-517.009,0.999995,0.0667181,6,63,0,524.606,3.66318,0.671184,-1.94776,-0.401652,-0.810833,-0.932859,0.142824,-0.421804,0.116598,1.79051
-512.783,0.999993,0.0667181,6,63,0,520.767,-1.07136,0.89353,-0.631188,-0.69158,-0.938702,-0.554713,0.393829,0.0526114,0.364272,1.78056
-513.812,0.998756,0.0667181,6,63,0,516.684,2.35784,0.684155,-1.28639,-0.0777846,-0.265057,-0.451939,0.067577,-0.215628,0.0987245,1.77427
-510.505,0.849474,0.0667181,5,63,0,520.528,1.11285,0.741995,-1.05078,-0.276004,-0.653888,-0.576475,0.151373,-0.00934233,0.222302,1.86279
-514.231,0.997683,0.0667181,5,31,0,515.444,1.21107,0.679279,-0.906165,-0.319554,-0.586928,-0.40505,0.185741,-0.0491556,0.200596,1.94776
-511.813,0.973478,0.0667181,6,63,0,517.453,1.01846,0.797684,-1.36595,-0.08123,-0.390427,-0.209279,0.155266,-0.206579,0.300869,1.70406
-512.866,0.973682,0.0667181,6,63,0,514.427,0.419802,0.768974,-0.652238,-0.631032,-1.02075,-0.692149,0.337054,-0.0319181,0.174236,1.89547
-511.813,0.998536,0.0667181,6,63,0,517.307,2.04163,0.748229,-1.65289,-0.23007,-0.821273,-0.464339,0.178315,-0.261197,0.240168,1.78725
-512.862,0.835438,0.0667181,5,63,0,517.053,1.42249,0.707763,-0.818038,-0.405934,-0.403284,-0.571961,0.141871,-0.131391,0.169258,1.81498
-514.253,0.99955,0.0667181,6,63,0,518.122,-0.572158,0.850282,-1.15617,-0.25923,-0.674845,0.157676,0.454786,0.108986,0.268459,1.80826
-514.919,0.992918,0.0667181,5,63,0,520.156,-1.01455,0.850019,-0.744282,0.0452075,-0.324516,-0.321977,0.412808,0.302843,0.150304,1.8007
-512.721,0.999763,0.0667181,6,63,0,518.453,1.35191,0.79532,-1.07434,-0.299368,-0.759722,-0.147888,0.299955,-0.487702,0.175279,1.79824
-511.612,0.99997,0.0667181,5,31,0,515.164,1.36778,0.811854,-1.0501,-0.209584,-0.723002,-0.328615,0.243407,-0.448166,0.155215,1.80184
-511.956,0.8426,0.0667181,6,63,0,516.363,0.0237065,0.776,-1.12258,-0.422517,-0.832919,-0.163159,0.278456,0.0930868,0.346648,1.79968
-510.437,0.999046,0.0667181,5,63,0,514.834,0.769967,0.817707,-1.00708,-0.61525,-0.744811,-0.678057,0.187264,-0.000505442,0.189104,1.81715
-510.532,0.999139,0.0667181,5,63,0,513.518,0.0650723,0.803735,-0.716089,-0.707115,-0.908481,-0.686883,0.285464,-0.0425868,0.290019,1.83555
-510.275,0.980641,0.0667181,6,63,0,515.303,1.73388,0.735279,-1.45137,-0.498135,-0.944021,-0.450134,0.269001,-0.147635,0.171014,1.79915
-511.915,0.830669,0.0667181,5,31,0,515.375,1.99199,0.708874,-1.45017,-0.561285,-0.983321,-0.435708,0.255067,-0.0685524,0.128714,1.77926
-513.367,0.997531,0.0667181,6,63,0,521.145,1.10413,0.806732,-0.677965,-1.13691,-1.31389,-0.888432,0.117548,-0.18125,0.313409,1.81204
