# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_01_model
# start_datetime = 2023-03-29 00:39:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.data.json
# init = 2 (Default)
# random
#   seed = 4
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.output4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.414124
# Diagonal elements of inverse mass matrix:
# 0.835061, 6.00489, 0.00379643, 0.026634, 0.00121511
-1467.32,0.971986,0.414124,4,15,0,1470.57,87.1247,4.80317,0.540757,-0.233728,18.2575
-1466.67,0.993527,0.414124,3,7,0,1468.08,87.6255,4.03951,0.58179,-0.586068,17.5144
-1466.81,0.972596,0.414124,3,7,0,1468.91,87.1478,2.4456,0.597242,-0.296535,17.8634
-1467.32,0.995529,0.414124,3,7,0,1467.58,88.3628,2.46963,0.578971,-0.735522,18.1337
-1469.03,0.96723,0.414124,3,7,0,1469.99,89.2632,3.01207,0.512747,-0.716824,17.8814
-1469.89,0.983078,0.414124,3,7,0,1471.31,85.6784,3.92629,0.637226,-0.162544,17.7127
-1469.3,1,0.414124,3,7,0,1470.78,85.9049,4.82146,0.61217,-0.139416,17.7743
-1468.99,0.956052,0.414124,3,7,0,1473.11,88.4262,7.75599,0.499948,-0.343874,18.1059
-1471.18,0.912376,0.414124,3,7,0,1474.38,87.5165,9.74915,0.606071,-0.154204,18.1768
-1469.49,0.995128,0.414124,3,15,0,1473.3,86.8952,-0.723983,0.52502,-0.598139,17.3191
-1470.37,0.921855,0.414124,3,7,0,1473.44,86.689,4.42676,0.660161,-0.699881,17.4824
-1467.9,1,0.414124,3,7,0,1472.08,86.1242,3.49491,0.595803,-0.552248,18.1397
-1469.54,0.979925,0.414124,3,15,0,1471.85,86.6162,-1.64197,0.626552,-0.721282,18.5687
-1470.44,0.959213,0.414124,3,7,0,1472.74,86.2786,-2.12524,0.595304,-0.427746,18.6306
-1469.35,0.990154,0.414124,3,7,0,1472.24,88.4423,5.97179,0.659368,-0.593471,17.7302
-1471.4,0.904421,0.414124,2,3,0,1472.75,88.3748,6.76711,0.708833,-0.471446,17.7171
-1466.85,0.967119,0.414124,2,7,0,1472.93,87.5541,2.99132,0.612804,-0.665464,17.9475
-1470.58,0.915778,0.414124,3,7,0,1472.01,88.8553,-2.39241,0.721957,-0.608277,18.6794
-1469.33,0.927591,0.414124,3,7,0,1477.28,88.1468,1.35421,0.571092,-0.81615,17.0865
-1467.73,0.953024,0.414124,3,7,0,1472.7,89.208,3.54903,0.555985,-0.586615,17.7446
-1466.94,0.905237,0.414124,3,7,0,1472.3,86.4955,3.34138,0.598578,-0.476296,17.5827
-1467.76,0.974341,0.414124,3,7,0,1468.52,88.7255,4.59547,0.582321,-0.407902,18.6699
-1468.2,0.981893,0.414124,3,7,0,1469.39,85.8196,1.89643,0.580234,-0.475324,17.8669
-1471.92,0.921409,0.414124,3,15,0,1475.68,85.7366,8.19031,0.53951,-0.0315358,18.9151
-1467.34,0.974031,0.414124,3,15,0,1474.62,89.0107,3.70926,0.614809,-0.553667,17.9186
-1468.07,0.979466,0.414124,3,7,0,1469.06,86.9782,-1.18864,0.609732,-0.616296,17.5332
-1468.16,0.999647,0.414124,3,7,0,1469.94,87.2162,1.98971,0.710979,-0.476279,18.265
-1466.61,0.998938,0.414124,3,7,0,1469.13,88.1881,0.50029,0.577183,-0.562568,18.1504
-1466.74,0.978916,0.414124,2,7,0,1467.43,87.3768,3.96243,0.600072,-0.605733,17.7999
-1466.29,0.995627,0.414124,3,7,0,1467.32,87.432,2.49825,0.632804,-0.516594,17.6325
-1467.82,0.953303,0.414124,4,15,0,1469.46,87.7725,5.14037,0.505986,-0.49863,17.2439
-1468.1,0.905544,0.414124,3,7,0,1471.54,86.5757,4.4976,0.601197,-0.611232,17.7142
-1469.99,0.951137,0.414124,3,7,0,1473.04,86.9495,5.69731,0.464098,-0.337632,19.1866
-1467.55,0.932148,0.414124,3,7,0,1474.32,88.3002,3.5963,0.523662,-0.524544,17.1961
-1466.74,0.987374,0.414124,3,7,0,1468.84,87.6122,5.09602,0.527782,-0.339458,17.9224
-1467.66,0.947051,0.414124,3,7,0,1469.78,86.4894,1.6511,0.668044,-0.490114,17.8355
-1467.76,0.988328,0.414124,3,15,0,1470.17,86.5822,6.3988,0.559986,-0.222592,17.9209
-1468.31,0.96534,0.414124,3,7,0,1469.84,86.502,7.10406,0.552029,-0.242332,17.5855
-1468.52,0.931167,0.414124,3,15,0,1472.48,89.4668,0.441093,0.65515,-0.614728,18.1595
-1466.75,0.995121,0.414124,3,7,0,1469.64,87.3704,1.79453,0.627419,-0.59282,18.4846
-1467.86,0.928215,0.414124,3,7,0,1470.38,86.4895,5.39543,0.534223,-0.440601,17.3833
-1467.49,0.9835,0.414124,3,7,0,1469.11,87.9362,2.22653,0.600592,-0.286467,17.5433
-1466.97,0.984035,0.414124,3,7,0,1468.95,87.4283,3.93907,0.501463,-0.39138,17.8559
-1467.22,0.992433,0.414124,3,7,0,1467.87,87.1257,2.6369,0.502123,-0.46983,18.132
-1468.99,0.969083,0.414124,3,7,0,1469.56,86.6905,6.18087,0.655896,-0.224644,17.7802
-1466.76,1,0.414124,3,7,0,1469.34,87.4821,0.39772,0.56237,-0.568244,18.1052
-1466.77,0.999588,0.414124,3,7,0,1467.2,87.2475,0.397079,0.594536,-0.586174,18.2834
-1468.8,0.944736,0.414124,3,7,0,1469.91,88.0229,1.08865,0.543785,-0.622491,19.2398
-1469.38,0.993068,0.414124,3,7,0,1471.59,87.714,1.59555,0.670321,-0.539522,16.6397
-1467.77,0.985601,0.414124,3,7,0,1471.97,86.6116,0.914923,0.672473,-0.523137,17.7525
-1468.89,0.947763,0.414124,3,7,0,1470.46,86.8259,-0.0651624,0.597186,-0.360244,18.9182
-1471.09,0.943716,0.414124,3,7,0,1472.4,88.5021,8.31771,0.598514,-0.464609,17.1205
-1467.68,1,0.414124,3,7,0,1471.9,88.2508,2.54746,0.500903,-0.465219,17.4974
-1469.49,0.915627,0.414124,3,15,0,1471.12,87.5102,-0.406935,0.492727,-0.423112,17.9953
-1469.02,0.983211,0.414124,3,7,0,1473.12,86.6711,0.00472844,0.561139,-0.740042,17.7991
-1467.89,0.979295,0.414124,3,7,0,1471.16,88.4554,1.8036,0.576458,-0.319254,17.6135
-1466.64,0.963738,0.414124,2,7,0,1469.15,88.2066,1.09001,0.563813,-0.482676,18.1072
-1469.92,0.892376,0.414124,3,7,0,1471.92,85.6945,5.17477,0.535382,-0.381816,19.0629
-1467.63,0.99021,0.414124,3,7,0,1473.04,87.8096,4.63045,0.527128,-0.514439,18.8456
-1466.56,0.99874,0.414124,3,7,0,1467.84,87.899,3.87012,0.541702,-0.416782,18.3916
-1466.45,0.9532,0.414124,3,15,0,1468.96,87.7726,1.84498,0.560185,-0.417383,18.1723
-1467.41,0.986728,0.414124,3,7,0,1467.66,87.6974,1.48061,0.660251,-0.704283,18.0675
-1468.39,0.990843,0.414124,3,15,0,1469.15,87.0972,4.6668,0.522192,-0.150053,17.9282
-1467.3,0.986382,0.414124,3,7,0,1469.96,88.0103,4.17406,0.549834,-0.668734,18.1126
-1469.49,0.979439,0.414124,4,15,0,1470.71,89.1409,-2.29158,0.680925,-0.663348,18.2062
-1467.19,0.999784,0.414124,4,15,0,1471.39,88.049,2.11077,0.665522,-0.561233,18.5144
-1468.55,0.903862,0.414124,3,7,0,1470.65,89.0327,2.49406,0.572347,-0.316259,17.9763
-1467.06,1,0.414124,3,7,0,1469.5,88.2951,0.852279,0.60526,-0.414249,18.2234
-1467.89,0.965381,0.414124,3,7,0,1469.71,88.0218,4.8107,0.557052,-0.690894,18.2096
