# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_00_model
# start_datetime = 2023-03-29 00:38:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.data.json
# init = 2 (Default)
# random
#   seed = 7
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.output7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma
# Adaptation terminated
# Step size = 0.0719415
# Diagonal elements of inverse mass matrix:
# 0.553777, 0.00362678, 0.0836788, 0.0865604, 0.0882348, 0.111063, 0.01091, 0.0291822, 0.00751636, 0.00111059
-510.778,0.993563,0.0719415,5,63,0,514.321,0.37596,0.802966,-0.825611,-0.0177468,-0.171154,-0.131667,0.152501,-0.0961237,0.226044,1.82525
-513.811,0.98248,0.0719415,5,31,0,516.007,0.319704,0.792824,-1.05269,0.0468263,0.0452507,-0.368937,0.2064,-0.0552624,0.256343,1.77878
-511.254,0.990189,0.0719415,5,63,0,521.835,-0.327559,0.864318,-0.785726,-0.419792,-0.484191,-0.52081,0.220833,0.167698,0.272254,1.75283
-513.53,0.964665,0.0719415,6,63,0,517.429,1.58319,0.688666,-1.39325,-0.242389,-0.367422,-0.067767,0.330054,-0.420133,0.216946,1.80482
-509.769,0.967401,0.0719415,5,31,0,516.481,1.34138,0.775056,-1.35462,-0.423952,-0.902792,-0.546878,0.256335,-0.135279,0.186177,1.80782
-511.89,0.994513,0.0719415,5,63,0,516.184,1.1009,0.853675,-1.50839,-0.280778,-0.508056,-0.136537,0.14196,0.0104179,0.219671,1.79608
-513.133,0.999543,0.0719415,5,31,0,514.967,1.19247,0.850132,-1.64373,-0.105919,-0.372771,-0.47403,0.139682,-0.0104439,0.201819,1.75294
-512.859,0.990129,0.0719415,5,63,0,517.288,1.48331,0.82417,-1.23648,-0.337172,-0.544872,-0.592963,0.0731804,0.014663,0.128851,1.8618
-511.883,0.954387,0.0719415,5,63,0,519.196,0.181964,0.871314,-1.06681,-0.651108,-0.842204,-0.902794,0.177817,0.215379,0.270376,1.78085
-511.836,0.999743,0.0719415,6,63,0,515.23,1.88164,0.683906,-1.20253,-0.310761,-0.590343,-0.736926,0.223014,-0.111431,0.114203,1.7708
-512.519,0.980894,0.0719415,5,63,0,515.329,1.55852,0.710372,-1.01757,-0.458137,-0.489018,-0.766731,0.224802,-0.0886192,0.110471,1.79556
-512.177,0.99172,0.0719415,5,63,0,516.018,0.856068,0.7225,-0.919565,-0.34351,-0.796783,-0.31644,0.278917,0.105614,0.127077,1.77695
-511.516,0.957705,0.0719415,5,31,0,515.013,0.6518,0.741226,-1.18147,-0.354899,-0.410346,-0.58469,0.25372,0.154252,0.225447,1.73715
-516.245,0.97953,0.0719415,5,63,0,518.386,0.313069,0.856895,-0.443088,-0.392072,-1.05093,-0.380716,0.315087,-0.405322,0.190194,1.81227
-517.093,0.886431,0.0719415,6,63,0,520.057,0.667616,0.740857,-1.53008,-0.000276829,-0.729256,0.112666,0.228425,0.277419,0.248423,1.76312
-517.118,1,0.0719415,6,63,0,523.191,0.488252,0.848923,-0.262814,-0.630259,-0.779437,-0.465831,0.243536,-0.363873,0.0990882,1.85267
-514.019,0.814689,0.0719415,5,63,0,523.422,1.69399,0.685178,-1.66048,-0.365614,-0.747296,-0.636944,0.2801,-0.154895,0.268592,1.71487
-510.448,0.99947,0.0719415,5,31,0,520.331,1.36493,0.712479,-1.4827,-0.417876,-0.870495,-0.528687,0.288784,-0.0216824,0.243107,1.74411
-514.986,0.891525,0.0719415,6,63,0,520.015,-0.499464,0.842324,-0.195504,-0.646472,-0.7645,-0.615309,0.359733,-0.243543,0.268547,1.7336
-518.158,0.902168,0.0719415,6,63,0,526.234,3.26548,0.81674,-2.18226,-0.859199,-1.01812,-0.994545,0.00959452,-0.216113,0.240435,1.82722
-515.711,0.92442,0.0719415,5,31,0,521.586,2.79183,0.714343,-1.89455,-0.928622,-1.38166,-1.15789,0.139047,-0.0654297,0.245773,1.87299
-514.142,0.987323,0.0719415,6,63,0,521.537,-0.87554,0.881638,-0.364838,-0.236481,-0.495519,-0.111764,0.327242,-0.185816,0.295501,1.70541
-514.262,0.93965,0.0719415,6,63,0,517.839,0.265783,0.775827,-1.24977,-0.423989,-0.668497,-0.467448,0.317203,0.307139,0.248609,1.90725
-516.713,0.939116,0.0719415,6,63,0,521.825,-0.325024,0.837238,-0.425011,-0.0245661,-0.225906,0.194101,0.273734,-0.220683,0.141658,1.6767
-513.66,1,0.0719415,6,63,0,520.994,1.26115,0.726886,-1.34251,-0.325163,-0.650267,-0.179279,0.184254,0.155376,0.215934,1.87951
-511.717,0.998758,0.0719415,6,63,0,517.594,1.12352,0.711067,-1.20063,-0.00965876,-0.328623,-0.438676,0.278924,-0.147607,0.212556,1.76154
-513.407,0.926009,0.0719415,5,31,0,515.731,0.470974,0.818417,-0.963431,-0.500261,-0.625747,0.0512256,0.151578,0.102504,0.270743,1.79422
-512.137,0.926943,0.0719415,5,31,0,519.202,0.229817,0.786845,-0.706852,-0.40702,-0.482807,-0.0584011,0.0964204,0.0211793,0.331265,1.71869
-511.56,0.947256,0.0719415,6,63,0,515.587,0.826508,0.815946,-1.038,-0.592975,-0.877101,-0.85069,0.233058,-0.187863,0.296944,1.90228
-511.22,0.999511,0.0719415,5,63,0,515.933,-0.126413,0.865631,-1.19394,-0.596989,-0.815657,-0.373795,0.308069,0.255101,0.252959,1.75216
-509.996,0.972922,0.0719415,6,63,0,512.924,0.381204,0.820731,-0.948396,-0.601117,-0.857505,-0.772911,0.230662,0.0791739,0.280925,1.83718
-514.244,0.979408,0.0719415,5,31,0,518.445,-0.460336,0.836328,-0.63712,-0.504979,-0.779665,-0.264799,0.297051,-0.0180255,0.308712,1.62445
-511.329,0.987378,0.0719415,6,63,0,522.691,1.07694,0.82459,-1.32259,-0.811095,-0.855731,-0.433845,0.255477,-0.179841,0.264936,1.70686
