# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_01_model
# start_datetime = 2023-03-29 00:39:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.data.json
# init = 2 (Default)
# random
#   seed = 2
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.output2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.388119
# Diagonal elements of inverse mass matrix:
# 0.843617, 5.82693, 0.00365537, 0.0268579, 0.00116854
-1470.55,0.987318,0.388119,3,7,0,1472.51,89.8722,1.74455,0.625291,-0.625968,17.0124
-1473.71,0.933508,0.388119,4,15,0,1476.68,85.0882,8.07364,0.488057,-0.337311,19.3069
-1471.04,0.985571,0.388119,3,11,0,1477,89.4907,-2.949,0.682198,-0.634208,17.6429
-1469.01,0.990709,0.388119,3,15,0,1473.17,85.9048,6.79827,0.524333,-0.374308,18.2837
-1470.23,0.96163,0.388119,3,7,0,1472.73,88.6853,6.17722,0.578205,-0.239026,19.119
-1468.27,1,0.388119,3,7,0,1471.2,88.4658,3.46084,0.548222,-0.309471,18.7648
-1467.75,0.996914,0.388119,3,7,0,1469.61,86.7185,4.6622,0.573345,-0.462912,17.0831
-1468.35,0.986463,0.388119,3,7,0,1469.7,87.9669,4.08251,0.581347,-0.254696,18.9304
-1466.53,0.999126,0.388119,3,7,0,1468.68,87.2725,3.76304,0.580182,-0.53321,17.4267
-1472,0.868357,0.388119,3,7,0,1472.71,88.2566,-0.996113,0.750446,-0.428414,19.153
-1471,0.977422,0.388119,3,7,0,1474.53,88.6502,1.27822,0.692557,-0.311259,19.1499
-1468.86,1,0.388119,3,7,0,1471.71,87.6609,0.699657,0.575386,-0.841756,17.6337
-1468.06,1,0.388119,4,15,0,1470.31,87.1791,7.52374,0.532152,-0.41193,18.3089
-1468.55,0.991433,0.388119,3,7,0,1470.3,87.0749,7.3402,0.539302,-0.398475,18.7915
-1471.08,0.967249,0.388119,3,7,0,1471.92,87.3083,8.11684,0.586405,-0.162313,19.3243
-1468.69,0.99234,0.388119,3,7,0,1473.41,87.4391,2.68901,0.488842,-0.467657,17.0368
-1467.74,0.997752,0.388119,3,7,0,1470.16,87.6683,4.2342,0.619956,-0.543871,17.0237
-1466.78,1,0.388119,3,7,0,1468.3,87.6502,1.14229,0.553882,-0.498998,17.4554
-1467,0.993975,0.388119,4,15,0,1467.99,87.8259,2.56394,0.569022,-0.336937,18.4947
-1468.7,0.95379,0.388119,2,7,0,1471.53,88.6589,1.11995,0.565718,-0.789217,17.2879
-1469.68,0.965944,0.388119,3,15,0,1473.81,86.0659,5.73965,0.534054,-0.11685,17.4425
-1466.38,1,0.388119,3,7,0,1470.03,87.9316,4.58846,0.59375,-0.520519,17.8344
-1466.79,0.983391,0.388119,3,7,0,1467.87,87.2254,3.36119,0.527583,-0.376193,17.5607
-1468.94,0.939609,0.388119,3,7,0,1470.81,87.9695,7.56763,0.479886,-0.423504,17.6804
-1467.55,0.99083,0.388119,3,7,0,1470.63,87.7536,7.11074,0.5763,-0.350709,17.8975
-1466.99,0.99958,0.388119,3,7,0,1467.88,86.9149,1.40858,0.538664,-0.464144,17.8743
-1467.3,0.974526,0.388119,3,15,0,1469.09,87.5086,1.37776,0.678372,-0.459734,18.3813
-1470,0.937397,0.388119,3,7,0,1470.58,87.4139,4.001,0.684505,-0.558253,19.3034
-1468.18,0.997071,0.388119,3,7,0,1472.35,87.2096,1.39609,0.653006,-0.260072,17.7576
-1469.83,0.975599,0.388119,3,7,0,1472.34,85.8233,5.97968,0.519534,-0.443209,17.3135
-1472.18,0.952255,0.388119,3,7,0,1473.53,88.7161,4.18374,0.631606,-0.143342,19.3193
